so_ho_khau,id_chu_ho,dia_chi,thoi_gian_xac_thuc,id_nguoi_xac_thuc,trang_thai,ghi_chu,ten_chu_ho
HK0001,NK0218,Số nhà 1 Đường Lê Lợi Phường Tân An Thành phố Hồ Chí Minh,2022-05-22,25,Đã xác thực,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,Phan Hải Châu
HK0002,NK0445,Số nhà 2 Đường Trần Hưng Đạo Phường Tân Bình Thành phố Hồ Chí Minh,2023-02-12,44,Đã xác thực,primis in faucibus orci luctus,Hoàng Tú Anh
HK0003,NK0269,Số nhà 3 Đường Nguyễn Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,2023-01-24,23,Đã xác thực,,Lý Nguyên Ðan
HK0004,NK0279,Số nhà 4 Đường Đồng Khởi Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-02-21,42,Chưa xác thực,,Phan Tuệ Mẫn
HK0005,NK0150,Số nhà 5 Đường Lý Thường Kiệt Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-10-23,42,Đã xác thực,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,Lê Phương Phương
HK0006,NK0424,Số nhà 6 Đường Nguyễn Trãi Phường Bình Tân Thành phố Hồ Chí Minh,2022-11-22,2,Chưa xác thực,,Lê Trí Dũng
HK0007,NK0281,Số nhà 7 Đường Võ Văn Tần Phường Quận 3 Thành phố Hồ Chí Minh,2023-02-01,24,Đã xác thực,,Hoàng Quang Dũng
HK0008,NK0231,Số nhà 8 Đường Huỳnh Tấn Phát Phường Tân Phú Thành phố Hồ Chí Minh,2022-04-20,23,Đã xác thực,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,Đỗ Thanh Dân
HK0009,NK0069,Số nhà 9 Đường Lê Hồng Phong Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-11-02,30,Đã xác thực,,Nguyễn Trung Hải
HK0010,NK0351,Số nhà 10 Đường Nguyễn Văn Trỗi Phường Tân Bình Thành phố Hồ Chí Minh,2022-11-30,15,Đã xác thực,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,Ngô Yên
HK0011,NK0189,Số nhà 11 Đường Nguyễn Thị Minh Khai Phường Tân An Thành phố Hồ Chí Minh,2022-10-08,47,Đã xác thực,,Lê Minh Danh
