so_can_cuoc,dac_diem_nhan_dang,ho_ten,ten_khac,ngay_sinh,gioi_tinh,que_quan,thuong_tru,tam_tru,quoc_tich,dan_toc,so_ho_chieu,trang_thai,ngay_xac_thuc,id_nguoi_xac_thuc,ghi_chu,quan_he_chu_ho
NK0001,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,Phan Ngọc Liên,Kilian,1995-10-14,Nam,Bắc Giang,Số nhà 35 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0001,Đã xác thực,2022-07-18,2,scelerisque mauris sit amet eros,
NK0002,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,Hoàng Bảo Châu,,1971-10-26,Nam,Hà Nội,Số nhà 20 Đường Lê Lợi Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0002,Đã xác thực,2022-08-10,167,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,
NK0003,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,Lê Thiên Bình,Alanson,1994-12-02,Nam,Đồng Tháp,Số nhà 23 Đường Võ Văn Tần Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0003,Chưa xác thực,2022-10-13,"",sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,
NK0004,,Nguyễn Bạch Mai,Gaultiero,2012-08-12,Nam,Thành phố Hồ Chí Minh,Số nhà 20 Đường Nguyễn Trãi Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Thái,HC0004,Chưa xác thực,2022-12-26,"",,
NK0005,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,Đặng Thy Trúc,,1965-11-13,Nam,Hà Nội,Số nhà 21 Đường Lê Văn Sỹ Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0005,Đã xác thực,2023-01-19,191,auctor sed tristique in tempus sit amet sem,
NK0006,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,Ngô Thiện Ngôn,Lauretta,1983-07-19,Khác,Hà Nội,Số nhà 6 Đường Trần Hưng Đạo Phường Quận 5 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0006,Đã xác thực,2022-06-28,345,bibendum felis sed interdum venenatis,
NK0007,,Phan Bảo Hân,Merridie,1968-12-14,Nữ,Quảng Trị,Số nhà 40 Đường Trần Phú Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0007,Đã xác thực,2022-06-01,185,,
NK0008,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,Trần Trường Kỳ,Meggi,1963-06-25,Nam,Lai Châu,Số nhà 18 Đường Đề Thám Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0008,Đã xác thực,2022-11-04,130,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,
NK0009,turpis elementum ligula vehicula consequat morbi,Phạm Ðức Bảo,,1975-01-07,Nữ,Hà Tĩnh,Số nhà 44 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0009,Chưa xác thực,2022-12-27,"",sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,
NK0010,,Đỗ Hà Anh,,2015-09-15,Khác,Hà Nội,Số nhà 31 Đường Trần Đại Nghĩa Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0010,Chưa xác thực,2022-08-13,"",,
NK0011,,Hoàng Thuỵ Miên,Lauryn,1962-05-12,Nam,Khánh Hòa,Số nhà 45 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0011,Chưa xác thực,2022-09-30,"",,
NK0012,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,Phạm Tường Minh,,2011-12-04,Nữ,Hà Nội,Số nhà 90 Đường Trần Đại Nghĩa Phường Quận 5 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0012,Đã xác thực,2022-12-01,271,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,
NK0013,,Ngô Việt Chính,,2001-07-23,Nữ,Hà Nội,Số nhà 27 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0013,Chưa xác thực,2022-11-29,"",,
NK0014,,Nguyễn Thanh Long,,1969-01-26,Nữ,Hòa Bình,Số nhà 41 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0014,Đã xác thực,2023-01-07,441,,
NK0015,,Lê Ðình Hợp,Tabbie,2016-06-04,Nữ,Hà Nội,Số nhà 84 Đường Trần Đại Nghĩa Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0015,Đã xác thực,2022-04-07,204,,
NK0016,id pretium iaculis diam erat fermentum justo nec,Đỗ Cẩm Ly,Gamaliel,2002-09-03,Nữ,Hà Nội,Số nhà 37 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0016,Đã xác thực,2022-04-03,244,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,
NK0017,,Võ Ðạt Hòa,Clement,2000-05-30,Khác,Thái Nguyên,Số nhà 34 Đường Phạm Hồng Thái Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0017,Chưa xác thực,2022-06-01,"",,
NK0018,,Lý Triệu Thái,Gaylene,1975-03-06,Nam,Thành phố Hồ Chí Minh,Số nhà 27 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0018,Chưa xác thực,2022-04-20,"",,
NK0019,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,Ngô Tuyết Nhi,,2018-10-21,Nữ,Trà Vinh,Số nhà 26 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Tày,HC0019,Chưa xác thực,2022-09-05,"",nulla ut erat id mauris vulputate elementum nullam varius nulla,
NK0020,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Lê Phương Phương,,2012-11-25,Nam,Phú Yên,Số nhà 11 Đường Nguyễn Thị Minh Khai Phường Tân An Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0020,Đã xác thực,2022-12-27,250,hac habitasse platea dictumst aliquam augue quam,
NK0021,,Ngô Nguyên Phong,Scotty,1977-10-21,Nam,Hà Nội,Số nhà 26 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0021,Chưa xác thực,2022-07-07,"",,
NK0022,,Phan Thảo Hương,Norbert,1967-06-26,Nam,Thành phố Hồ Chí Minh,Số nhà 24 Đường Trần Hưng Đạo Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0022,Đã xác thực,2022-12-19,331,,
NK0023,,Phan Vân Khánh,,1969-06-07,Nam,Nghệ An,Số nhà 23 Đường Võ Văn Tần Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0023,Đã xác thực,2023-02-03,404,,
NK0024,erat vestibulum sed magna at nunc commodo,Lý Ðức Sinh,Gladi,2019-06-18,Nam,Gia Lai,Số nhà 33 Đường Trần Quốc Tuấn Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0024,Đã xác thực,2023-01-27,206,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,
NK0025,,Hoàng Quang Ninh,,1991-01-07,Nữ,Hà Nam,Số nhà 90 Đường Trần Đại Nghĩa Phường Quận 5 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0025,Đã xác thực,2023-01-23,365,,
NK0026,,Ngô Hồng Lĩnh,Iago,2012-06-12,Nam,Hà Nội,Số nhà 89 Đường Nguyễn Thị Minh Khai Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0026,Đã xác thực,2022-10-18,486,,
NK0027,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,Lê Yến Trinh,Tomi,1997-11-13,Nam,Bắc Ninh,Số nhà 53 Đường Trần Quốc Toản Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0027,Đã xác thực,2022-08-25,415,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,
NK0028,suspendisse potenti nullam porttitor lacus at turpis donec posuere,Lý Hoài Thương,,1986-09-24,Nam,Quảng Ninh,Số nhà 94 Đường Trần Quốc Toản Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0028,Đã xác thực,2022-08-26,421,magna bibendum imperdiet nullam orci pede venenatis,
NK0029,,Đỗ Ái Khanh,,1992-12-17,Nữ,Thành phố Hồ Chí Minh,Số nhà 14 Đường Trần Quốc Toản Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0029,Đã xác thực,2022-12-15,239,,
NK0030,,Trần Nhật Tiến,,2008-02-19,Nữ,Thành phố Hồ Chí Minh,Số nhà 24 Đường Trần Hưng Đạo Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0030,Chưa xác thực,2022-08-16,"",,
NK0031,,Lê Nhã Lý,,1965-08-08,Nữ,Thành phố Hồ Chí Minh,Số nhà 29 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0031,Đã xác thực,2022-10-17,234,,
NK0032,,Ngô Nguyệt Hồng,,1971-12-05,Nam,Thành phố Hồ Chí Minh,Số nhà 92 Đường Trần Bình Trọng Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0032,Đã xác thực,2023-01-25,360,,
